strain,id,race,flavors,effects,0
Bhang Casey Jones,148,sativa,"['Ammonia', 'Chemical', 'Menthol']","{'positive': [], 'negative': [], 'medical': ['Nausea', 'Fatigue', 'Headaches', 'Eye Pressure', 'Muscle Spasms']}","Bertberry Cheesecake by Bert Baccarat is a bright sativa-dominant cross of Alien Moonshine and UK Cheese. This strain’s terpene profile is rich with sweet citrus, and its buds are bulbous, bright green, and tangled in orange hairs. Bertberry Cheesecake is both mentally and physically stimulating, offering creativity and strong euphoria. But mind your dosage, as  Bertberry Cheesecake has been known to overstimulate consumers prone to anxiety. "
Bhang Cheese,150,hybrid,['Cheese'],"{'positive': ['Relaxed', 'Focused'], 'negative': ['Dry Mouth'], 'medical': []}","Bettie Page, grown by Liberty Reach Farms in Washington, is a perfectly balanced 50/50 hybrid cannabis strain. This high-THC strain provides mellow euphoria that focuses itself in the cerebral space, encouraging energy rather than lethargy. "
Bhang ChemDawg,151,hybrid,"['Earthy', 'Pungent']","{'positive': ['Relaxed', 'Happy', 'Energetic', 'Uplifted'], 'negative': [], 'medical': ['Pain', 'Stress', 'Nausea', 'Headaches']}",
Bhang Cherry Kola,152,indica,['Butter'],"{'positive': [], 'negative': ['Dizzy', 'Dry Eyes', 'Anxious'], 'medical': ['Pain', 'Lack of Appetite', 'Nausea']}",
Bhang Chocolope,156,sativa,"['Coffee', 'Earthy', 'Flowery']","{'positive': ['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Giggly'], 'negative': [], 'medical': ['Depression', 'Stress', 'Fatigue']}",
Bhang Diablo OG,159,indica,"['Citrus', 'Earthy', 'Blueberry']","{'positive': ['Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headaches']}",
Bhang Durban Poison,161,sativa,"['Earthy', 'Flowery', 'Pungent']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Uplifted', 'Giggly'], 'negative': [], 'medical': ['Depression', 'Stress', 'Fatigue', 'Headaches', 'Inflammation']}",
Bhang Dutch Treat,162,hybrid,"['Earthy', 'Pungent', 'Woody']","{'positive': ['Relaxed', 'Hungry', 'Uplifted', 'Focused'], 'negative': [], 'medical': ['Stress', 'Fatigue', 'Headaches', 'Eye Pressure']}",
Bhang Girl Scout Cookies,166,hybrid,"['Earthy', 'Grapefruit', 'Pine']","{'positive': ['Relaxed', 'Euphoric', 'Creative', 'Tingly', 'Focused'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Inflammation']}",
Bhang Granddaddy Purple,167,indica,"['Grape', 'Berry', 'Woody']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Aroused'], 'negative': ['Dry Mouth'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']}",
Bhang Grape Ape,168,indica,"['Berry', 'Grape']","{'positive': ['Euphoric', 'Focused', 'Giggly'], 'negative': ['Dry Eyes'], 'medical': ['Stress']}",
Bhang Harlequin,170,sativa,"['Woody', 'Chestnut', 'Lemon']","{'positive': ['Relaxed', 'Happy', 'Sleepy', 'Focused', 'Giggly'], 'negative': [], 'medical': ['Depression', 'Headaches']}",
Bhang Hawaiian Haze,171,sativa,"['Flowery', 'Pungent', 'Sweet']","{'positive': ['Relaxed', 'Hungry', 'Uplifted', 'Sleepy', 'Giggly'], 'negative': [], 'medical': []}",
Bhang Holy Grail,175,hybrid,"['Grapefruit', 'Lime', 'Skunk']","{'positive': ['Hungry', 'Euphoric', 'Happy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']}",
Bhang Island Sweet Skunk,177,sativa,"['Skunk', 'Sweet', 'Tropical']","{'positive': ['Happy', 'Energetic', 'Uplifted', 'Tingly', 'Aroused'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Inflammation']}",
Bhang J-1,178,hybrid,"['Blueberry', 'Citrus', 'Lemon']","{'positive': ['Relaxed', 'Euphoric', 'Uplifted', 'Tingly', 'Focused'], 'negative': [], 'medical': ['Stress', 'Fatigue']}",
Bhang Jack Herer,180,sativa,"['Citrus', 'Sweet', 'Tar']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Energetic'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Pain', 'Headaches']}",
Bhang Juicy Fruit,181,hybrid,"['Sweet', 'Citrus', 'Lemon']","{'positive': ['Relaxed', 'Euphoric', 'Creative', 'Uplifted'], 'negative': ['Dry Eyes'], 'medical': ['Pain', 'Stress', 'Nausea', 'Headaches']}",
Bhang Kali Mist,183,sativa,"['Berry', 'Pine', 'Skunk']","{'positive': ['Hungry', 'Euphoric', 'Happy', 'Creative', 'Energetic'], 'negative': [], 'medical': []}",
Bhang King's Kush,184,indica,"['Berry', 'Blueberry', 'Diesel']","{'positive': ['Relaxed', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes'], 'medical': ['Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']}",
Bhang Lavender Kush,187,indica,"['Minty', 'Sweet', 'Lavender']","{'positive': ['Relaxed', 'Happy', 'Tingly', 'Sleepy', 'Giggly'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Cramps', 'Lack of Appetite']}",
Bhang Lemon Haze,189,sativa,"['Citrus', 'Flowery', 'Lemon']","{'positive': ['Happy', 'Energetic', 'Talkative', 'Uplifted'], 'negative': ['Dry Eyes'], 'medical': ['Depression', 'Stress', 'Cramps', 'Nausea', 'Fatigue']}",
Bhang Lemon Skunk,190,hybrid,['Lime'],"{'positive': ['Relaxed', 'Hungry', 'Creative', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Stress', 'Cramps']}",
Bhang Mango OG,192,indica,"['Mango', 'Sweet', 'Berry']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']}",
Bhang Master Kush,193,indica,"['Flowery', 'Earthy', 'Pepper']","{'positive': ['Relaxed', 'Euphoric', 'Focused'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Inflammation']}",
Bhang Maui Waui,194,sativa,"['Earthy', 'Pungent', 'Sweet']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Creative', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Stress', 'Cramps', 'Fatigue', 'Headaches']}",
Bhang Mr. Nice,196,indica,['Sweet'],"{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Giggly'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']}",
Bhang Northern Lights,198,indica,"['Earthy', 'Spicy/Herbal', 'Woody']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Muscle Spasms']}",
Bhang Ogre,200,indica,['Lemon'],"{'positive': ['Euphoric', 'Aroused'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Lack of Appetite', 'Fatigue', 'Headaches']}",
Bhang Perfecto Hybrid,202,hybrid,"['Citrus', 'Earthy', 'Lemon']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Pain', 'Lack of Appetite', 'Nausea']}",
Bhang Perfecto Indica,203,indica,"['Citrus', 'Flowery', 'Tea']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': [], 'medical': ['Depression', 'Stress', 'Fatigue']}",
Bhang Pineapple Express,205,hybrid,"['Mango', 'Pineapple', 'Butter']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Focused', 'Giggly'], 'negative': [], 'medical': ['Depression', 'Stress', 'Nausea', 'Seizures', 'Muscle Spasms']}",
Bhang Pineapple Kush,206,hybrid,"['Pine', 'Pineapple', 'Tropical']","{'positive': ['Euphoric', 'Creative', 'Energetic', 'Uplifted', 'Giggly'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Lack of Appetite', 'Inflammation', 'Muscle Spasms']}",
Bhang Purple Diesel,211,hybrid,"['Diesel', 'Earthy', 'Spicy/Herbal']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Giggly'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Fatigue']}",
Bhang Purple Erkle,212,indica,"['Berry', 'Sweet', 'Citrus']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted'], 'negative': [], 'medical': ['Pain', 'Stress', 'Cramps', 'Lack of Appetite', 'Fatigue']}",
Bhang Skunk #1,221,hybrid,"['Berry', 'Citrus', 'Strawberry']","{'positive': ['Hungry', 'Euphoric', 'Happy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Fatigue']}",
Bhang Skywalker OG,222,hybrid,"['Pungent', 'Grapefruit']","{'positive': ['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Aroused'], 'negative': [], 'medical': ['Depression', 'Stress', 'Nausea', 'Inflammation', 'Muscle Spasms']}",
Bhang Sour Diesel,223,sativa,"['Citrus', 'Diesel', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted'], 'negative': ['Dry Mouth'], 'medical': ['Pain', 'Stress', 'Inflammation', 'Muscle Spasms']}",
Bhang Sour OG,224,hybrid,"['Diesel', 'Pungent', 'Skunk']","{'positive': ['Hungry', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': [], 'medical': []}",
Bhang Strawberry Cough,225,sativa,"['Sweet', 'Blueberry']","{'positive': ['Hungry', 'Creative', 'Energetic', 'Focused'], 'negative': ['Dry Mouth'], 'medical': ['Stress', 'Lack of Appetite']}",
Bhang Strawberry Diesel,226,sativa,['Strawberry'],"{'positive': ['Euphoric', 'Happy', 'Energetic', 'Aroused'], 'negative': ['Dry Mouth'], 'medical': []}",
Bhang Super Lemon Haze,227,sativa,"['Lemon', 'Citrus', 'Sage']","{'positive': ['Euphoric', 'Creative', 'Energetic', 'Uplifted'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Fatigue', 'Inflammation']}",
Bhang Tangie,232,sativa,"['Citrus', 'Orange']","{'positive': ['Happy', 'Uplifted', 'Tingly', 'Focused'], 'negative': [], 'medical': ['Depression', 'Stress', 'Fatigue']}",
Bhang Triple Berry Goo,234,indica,"['Berry', 'Apple', 'Blueberry']","{'positive': ['Relaxed', 'Euphoric', 'Happy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Fatigue', 'Eye Pressure']}",
Bhang White Diesel,236,hybrid,"['Apple', 'Citrus', 'Diesel']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative'], 'negative': [], 'medical': []}",
Bhang White Widow,237,hybrid,"['Blueberry', 'Earthy', 'Lavender']","{'positive': ['Happy', 'Creative', 'Energetic', 'Talkative', 'Aroused'], 'negative': ['Anxious'], 'medical': []}",
Bhang XJ-13,239,hybrid,"['Citrus', 'Flowery', 'Tropical']","{'positive': ['Relaxed', 'Energetic', 'Uplifted', 'Focused'], 'negative': [], 'medical': ['Pain', 'Stress', 'Headache', 'Fatigue', 'Inflammation']}",
Bhang Yoda OG,240,indica,"['Citrus', 'Flowery', 'Sweet']","{'positive': ['Relaxed', 'Uplifted', 'Focused'], 'negative': [], 'medical': ['Pain', 'Stress', 'Inflammation']}",
Bianca,241,hybrid,"['Earthy', 'Woody', 'Pine']","{'positive': ['Relaxed', 'Creative', 'Sleepy', 'Aroused'], 'negative': ['Dry Mouth'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Muscle Spasms']}",
Biddy Early,242,hybrid,"['Sweet', 'Lemon', 'Pine']","{'positive': ['Euphoric', 'Creative', 'Energetic', 'Uplifted', 'Focused'], 'negative': ['Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']}",
Big Band,243,hybrid,"['Sweet', 'Citrus', 'Earthy']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Giggly'], 'negative': ['Dry Mouth'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Fatigue', 'Inflammation']}",
Big Bang,244,indica,"['Flowery', 'Berry', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']}",
Big Bud,245,indica,"['Earthy', 'Pungent', 'Woody']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']}",
Big Buddha Cheese,246,hybrid,"['Cheese', 'Pungent', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']}",
Big Holy Nina,247,hybrid,"['Earthy', 'Pungent', 'Woody']","{'positive': ['Euphoric', 'Happy', 'Talkative', 'Uplifted'], 'negative': [], 'medical': ['Stress', 'Lack of Appetite', 'Nausea', 'Fatigue']}",
Big Kush,248,hybrid,"['Citrus', 'Lemon', 'Lime']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Cramps', 'Nausea']}",
Big Mac,249,indica,"['Citrus', 'Earthy', 'Pungent']","{'positive': ['Relaxed', 'Creative', 'Aroused'], 'negative': ['Dizzy', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Stress']}",
Big Skunk Korean,250,hybrid,"['Flowery', 'Skunk']","{'positive': ['Hungry', 'Creative', 'Energetic', 'Talkative', 'Uplifted'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Lack of Appetite', 'Nausea', 'Fatigue']}",
Big Sky OG,251,hybrid,"['Chemical', 'Berry', 'Pungent']","{'positive': ['Relaxed', 'Creative', 'Uplifted', 'Tingly'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Headaches', 'Eye Pressure']}",
Big Smooth,252,hybrid,"['Blueberry', 'Earthy', 'Pine']","{'positive': ['Happy', 'Creative', 'Tingly', 'Giggly', 'Aroused'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Lack of Appetite', 'Fatigue', 'Headaches']}",
Big Sur Holy Bud,253,sativa,"['Pine', 'Woody', 'Earthy']","{'positive': ['Relaxed', 'Happy', 'Creative', 'Uplifted', 'Focused'], 'negative': [], 'medical': ['Depression', 'Stress', 'Nausea', 'Fatigue', 'Muscle Spasms']}",
Big White,254,indica,"['Flowery', 'Diesel', 'Earthy']","{'positive': ['Relaxed', 'Uplifted', 'Sleepy'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']}",
Big Wreck,255,indica,"['Earthy', 'Pungent', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Headache', 'Fatigue', 'Muscle Spasms']}",
Biker Le’Blanc,256,hybrid,"['Earthy', 'Sage', 'Spicy/Herbal']","{'positive': ['Relaxed', 'Euphoric', 'Energetic', 'Focused', 'Aroused'], 'negative': [], 'medical': ['Cramps']}",
Bio-Diesel,257,hybrid,"['Diesel', 'Pungent', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache']}",
Bio-Jesus,258,hybrid,"['Earthy', 'Flowery', 'Chemical']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']}",
Biochem,259,indica,"['Spicy/Herbal', 'Skunk', 'Earthy']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Sleepy', 'Aroused'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Fatigue']}",
Birthday Cake Kush,261,hybrid,"['Sweet', 'Vanilla', 'Skunk']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Giggly'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']}",
Black '84,262,indica,"['Pungent', 'Earthy', 'Coffee']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Sleepy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Cramps', 'Lack of Appetite']}",
Black Afghan,263,indica,"['Pepper', 'Earthy', 'Pungent']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Sleepy'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Inflammation']}",
Black Betty,264,hybrid,"['Berry', 'Sweet', 'Citrus']","{'positive': ['Euphoric', 'Happy', 'Energetic', 'Talkative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']}",
Black Bubba,265,indica,"['Earthy', 'Flowery', 'Pine']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Tingly', 'Sleepy'], 'negative': ['Dry Mouth'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Seizures']}",
Black Cherry Cheesecake,266,hybrid,"['Berry', 'Sweet', 'Cheese']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Pain', 'Cramps', 'Nausea', 'Headaches', 'Eye Pressure']}",
Black Cherry OG,267,indica,"['Sweet', 'Berry', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']}",
Black Cherry Pie,268,hybrid,"['Earthy', 'Lavender', 'Plum']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': [], 'medical': ['Insomnia', 'Pain', 'Cramps', 'Lack of Appetite', 'Nausea']}",
Black Cherry Soda,269,hybrid,"['Sweet', 'Berry', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches']}",
Black Dahlia,270,hybrid,"['Sweet', 'Berry', 'Earthy']","{'positive': ['Relaxed', 'Happy', 'Sleepy', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']}",
Black Diamond,271,indica,"['Earthy', 'Sweet', 'Berry']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}",
Black Diesel,272,sativa,"['Diesel', 'Pungent', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Muscle Spasms']}",
Black Domina,273,indica,"['Pepper', 'Spicy/Herbal', 'Woody']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Inflammation']}",
Black Haze,274,hybrid,"['Earthy', 'Pine', 'Flowery']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']}",
Black Ice,275,indica,"['Earthy', 'Woody', 'Pine']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headaches']}",
Black Jack,276,hybrid,"['Sweet', 'Pine', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Fatigue']}",
Black Label Kush,277,indica,"['Woody', 'Berry', 'Citrus']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Inflammation']}",
Black Lime Special Reserve,278,indica,"['Lime', 'Citrus', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Inflammation']}",
Black Magic,279,hybrid,['Earthy'],"{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted'], 'negative': [], 'medical': ['Depression', 'Pain', 'Stress', 'Inflammation']}",
Black Magic Kush,280,indica,"['Berry', 'Earthy', 'Spicy/Herbal']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Stress', 'Cramps', 'Lack of Appetite']}",
Black Mamba,281,indica,"['Sweet', 'Woody', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Headaches']}",
Black Russian,282,indica,"['Citrus', 'Earthy', 'Lemon']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Insomnia', 'Stress', 'Lack of Appetite', 'Nausea', 'Fatigue']}",
Black Tuna,283,hybrid,"['Earthy', 'Woody', 'Pungent']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']}",
Black Velvet,284,hybrid,"['Sweet', 'Pine', 'Flowery']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Sleepy', 'Giggly'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Lack of Appetite', 'Nausea', 'Eye Pressure']}",
Black Widow,285,hybrid,"['Woody', 'Earthy', 'Sweet']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Focused'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Headache', 'Headaches', 'Inflammation']}",
Blackberry,286,hybrid,"['Berry', 'Sweet', 'Earthy']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Headache', 'Muscle Spasms']}",
Blackberry Bubble,287,indica,"['Berry', 'Blueberry', 'Skunk']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': ['Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']}",
Blackberry Chem OG,288,hybrid,"['Berry', 'Chemical']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Tingly'], 'negative': ['Paranoid', 'Anxious'], 'medical': ['Depression', 'Pain', 'Stress']}",
Blackberry Cream,289,indica,"['Berry', 'Sweet', 'Woody']","{'positive': ['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy'], 'negative': [], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Muscle Spasms']}",
Blackberry Diesel,290,sativa,"['Diesel', 'Pungent', 'Berry']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Talkative', 'Sleepy'], 'negative': ['Dry Mouth', 'Anxious'], 'medical': ['Depression', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches', 'Eye Pressure']}",
Blackberry Dream,291,hybrid,"['Chemical', 'Grapefruit', 'Nutty']","{'positive': ['Relaxed', 'Creative', 'Energetic', 'Uplifted', 'Giggly'], 'negative': ['Dry Mouth', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Seizures', 'Muscle Spasms']}",
Blackberry Hashplant,293,indica,"['Berry', 'Earthy', 'Nutty']","{'positive': ['Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Insomnia', 'Pain', 'Stress', 'Nausea', 'Headache', 'Fatigue']}",
Blackberry Haze,294,sativa,"['Berry', 'Sweet', 'Lemon']","{'positive': ['Relaxed', 'Hungry', 'Happy', 'Uplifted', 'Tingly'], 'negative': ['Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Pain', 'Stress', 'Headaches', 'Inflammation']}",
Blackberry Kush,295,indica,"['Berry', 'Sweet', 'Earthy']","{'positive': ['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Sleepy'], 'negative': ['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes'], 'medical': ['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite', 'Headache']}",
